year,L_largehead,L_conger,L_amber,L_halibut,L_cod,M_largeyc,M_smallyc,M_filefish,M_pomfret,M_porgie,SM_flound,SM_flatfish,S_bream,S_sandeel,I_cucumb,I_mollus,I_shell,Ce_squid,Ce_cuttl,Sr_srshim,Sr_apshrim,Cr_gcrab,Cr_bcrab,J_jell
2003,390132.475,38804.07384,1453.16406,712.9252171,755.3518216,43103.42576,118629.5587,24400.9625,157358.9733,52842.96541,5152.774875,156.1080782,65285.09053,178.8856092,453.6649816,221824.9794,4656.352207,127792.0562,68392.27261,181398.5879,264528.6568,131489.3745,33785.30486,454124.7482
2004,393210.1966,36922.39587,2022.019203,660.0727973,853.312137,38052.84641,134142.655,22965.15565,164851.6006,64963.44895,4574.52869,323.6963898,42055.41583,379.1627212,435.2664317,235412.3606,4866.384316,123153.6677,75007.40104,126323.2549,287278.6675,145432.2223,32659.35948,463423.377
2005,367180.6124,32974.89224,1111.643535,816.3390628,1050.617966,31831.42305,137994.0103,27928.34738,173650.7211,59013.63327,5921.163876,212.0850633,34052.71297,596.337687,431.333092,248576.9705,5490.281216,107838.8248,70069.81567,179339.2099,276968.4005,157630.1534,26790.80146,462818.5691
2006,436662.7742,45725.87773,1959.11224,887.4511979,1368.995784,32652.47405,144533.2532,25107.01668,164368.283,69937.64779,7676.954902,341.3280979,38883.81329,607.4294042,575.4813011,256291.3583,2695.206416,102973.4294,80571.64322,160946.8406,299634.6274,168997.9043,26867.07683,427889.7142
2007,349007.1672,33726.02796,1967.030878,926.8321459,1139.152666,33308.15549,162644.6018,19857.19209,164518.5377,63808.79137,7429.431004,237.6546741,18796.76214,411.9791473,987.043004,250961.4423,2904.649712,83427.8175,73321.91008,165589.4175,291907.284,168302.8573,32922.23555,412317.3224
2008,440323.2448,37129.98073,4724.301138,1592.952286,945.6707877,25961.89134,164643.3041,21298.53838,172708.7459,60964.83876,7683.388436,308.1039259,38538.50414,473.1873335,780.8417504,219298.6492,7173.033442,87648.3611,54121.22729,144972.4333,252154.8067,162566.2497,29736.89642,435622.2126
2009,417643.7124,30678.1381,6620.1366,2557.30987,1136.308899,28896.03548,171555.7744,18891.29917,171670.8076,70535.26524,9256.436736,584.4144322,29277.56328,416.5434992,1265.460486,230206.5108,10203.54084,114894.5359,55061.10562,129998.8437,270839.1138,153132.8973,27927.76189,591606.1085
2010,406717.8246,30589.40844,9693.683268,3005.001978,1539.544821,28541.95304,183254.7889,18396.6369,164306.1825,74509.36479,10011.85995,266.1937133,30230.37567,0,1952.633815,215683.4568,6464.065145,104252.27,52168.44601,130960.5276,249862.2914,157410.6493,30245.05135,599857.2343
2011,411415.6466,39103.2195,5754.157554,2699.130485,2196.265332,29145.19399,178481.4736,22044.38553,160171.2468,74856.4073,11541.23764,327.1734449,37120.5911,0,1239.826558,204182.474,6712.296945,120305.7775,56520.39645,129793.3565,236648.9955,163569.3171,31340.19689,629030.9862
2012,368427.0821,31518.15913,4892.603775,2373.24792,1773.148607,31481.76296,177531.7718,16906.51412,151300.374,73730.25594,10717.46058,315.6724141,30780.29985,0,1097.1248,198531.1321,7033.505502,129205.0994,56304.86587,135536.1032,251894.9247,177281.13,31516.3861,662248.8314
2013,366469.9483,32274.44354,7642.981158,2409.031905,1670.776094,39959.61917,160098.0206,16578.53073,143413.2533,74364.80783,10178.11925,377.2592948,30802.11509,0,1259.475419,194413.8645,8089.386393,114008.5798,56238.09407,142493.6285,248907.247,206528.5591,34000.31319,659204.5141
2014,449208.0428,98790.46039,10300.32464,3246.624458,5403.234225,41910.98009,150801.5716,49830.51555,145119.2964,76000.65094,13717.48319,508.4698348,110466.5565,0,1369.701387,0,8797.348158,123969.0702,60259.02564,140168.2728,236524.0393,253500.1369,36827.39023,716774.6189
